series_id,obs_date,value
portwatch.hormuz.n_tanker,2021-11-08,31.0
portwatch.hormuz.n_tanker,2021-11-09,53.0
portwatch.hormuz.n_tanker,2021-11-10,47.0
portwatch.hormuz.n_tanker,2021-11-11,61.0
portwatch.hormuz.n_tanker,2021-11-12,41.0
portwatch.hormuz.n_tanker,2021-11-13,51.0
portwatch.hormuz.n_tanker,2021-11-14,53.0
portwatch.hormuz.n_tanker,2021-11-15,52.0
portwatch.hormuz.n_tanker,2021-11-16,64.0
portwatch.hormuz.n_tanker,2021-11-17,62.0
portwatch.hormuz.n_tanker,2021-11-18,33.0
portwatch.hormuz.n_tanker,2021-11-19,52.0
portwatch.hormuz.n_tanker,2021-11-20,60.0
portwatch.hormuz.n_tanker,2021-11-21,59.0
portwatch.hormuz.n_tanker,2021-11-22,59.0
portwatch.hormuz.n_tanker,2021-11-23,66.0
portwatch.hormuz.n_tanker,2021-11-24,52.0
portwatch.hormuz.n_tanker,2021-11-25,62.0
portwatch.hormuz.n_tanker,2021-11-26,61.0
portwatch.hormuz.n_tanker,2021-11-27,52.0
portwatch.hormuz.n_tanker,2021-11-28,43.0
portwatch.hormuz.n_tanker,2021-11-29,50.0
portwatch.hormuz.n_tanker,2021-11-30,39.0
portwatch.hormuz.n_tanker,2021-12-01,57.0
portwatch.hormuz.n_tanker,2021-12-02,43.0
portwatch.hormuz.n_tanker,2021-12-03,66.0
portwatch.hormuz.n_tanker,2021-12-04,46.0
portwatch.hormuz.n_tanker,2021-12-05,50.0
portwatch.hormuz.n_tanker,2021-12-06,42.0
portwatch.hormuz.n_tanker,2021-12-07,54.0
portwatch.hormuz.n_tanker,2021-12-08,39.0
portwatch.hormuz.n_tanker,2021-12-09,65.0
portwatch.hormuz.n_tanker,2021-12-10,55.0
portwatch.hormuz.n_tanker,2021-12-11,46.0
portwatch.hormuz.n_tanker,2021-12-12,51.0
portwatch.hormuz.n_tanker,2021-12-13,43.0
portwatch.hormuz.n_tanker,2021-12-14,57.0
portwatch.hormuz.n_tanker,2021-12-15,56.0
portwatch.hormuz.n_tanker,2021-12-16,35.0
portwatch.hormuz.n_tanker,2021-12-17,38.0
portwatch.hormuz.n_tanker,2021-12-18,59.0
portwatch.hormuz.n_tanker,2021-12-19,60.0
portwatch.hormuz.n_tanker,2021-12-20,49.0
portwatch.hormuz.n_tanker,2021-12-21,40.0
portwatch.hormuz.n_tanker,2021-12-22,42.0
portwatch.hormuz.n_tanker,2021-12-23,48.0
portwatch.hormuz.n_tanker,2021-12-24,64.0
portwatch.hormuz.n_tanker,2021-12-25,60.0
portwatch.hormuz.n_tanker,2021-12-26,49.0
portwatch.hormuz.n_tanker,2021-12-27,43.0
portwatch.hormuz.n_tanker,2021-12-28,45.0
portwatch.hormuz.n_tanker,2021-12-29,53.0
portwatch.hormuz.n_tanker,2021-12-30,43.0
portwatch.hormuz.n_tanker,2021-12-31,55.0
portwatch.hormuz.n_tanker,2022-01-01,39.0
portwatch.hormuz.n_tanker,2022-01-02,51.0
portwatch.hormuz.n_tanker,2022-01-03,54.0
portwatch.hormuz.n_tanker,2022-01-04,47.0
portwatch.hormuz.n_tanker,2022-01-05,46.0
portwatch.hormuz.n_tanker,2022-01-06,43.0
portwatch.hormuz.n_tanker,2022-01-07,44.0
portwatch.hormuz.n_tanker,2022-01-08,47.0
portwatch.hormuz.n_tanker,2022-01-09,62.0
portwatch.hormuz.n_tanker,2022-01-10,58.0
portwatch.hormuz.n_tanker,2022-01-11,47.0
portwatch.hormuz.n_tanker,2022-01-12,48.0
portwatch.hormuz.n_tanker,2022-01-13,58.0
portwatch.hormuz.n_tanker,2022-01-14,55.0
portwatch.hormuz.n_tanker,2022-01-15,45.0
portwatch.hormuz.n_tanker,2022-01-16,52.0
portwatch.hormuz.n_tanker,2022-01-17,49.0
portwatch.hormuz.n_tanker,2022-01-18,55.0
portwatch.hormuz.n_tanker,2022-01-19,44.0
portwatch.hormuz.n_tanker,2022-01-20,56.0
portwatch.hormuz.n_tanker,2022-01-21,49.0
portwatch.hormuz.n_tanker,2022-01-22,37.0
portwatch.hormuz.n_tanker,2022-01-23,39.0
portwatch.hormuz.n_tanker,2022-01-24,50.0
portwatch.hormuz.n_tanker,2022-01-25,60.0
portwatch.hormuz.n_tanker,2022-01-26,59.0
portwatch.hormuz.n_tanker,2022-01-27,66.0
portwatch.hormuz.n_tanker,2022-01-28,53.0
portwatch.hormuz.n_tanker,2022-01-29,68.0
portwatch.hormuz.n_tanker,2022-01-30,53.0
portwatch.hormuz.n_tanker,2022-01-31,53.0
portwatch.hormuz.n_tanker,2022-02-01,50.0
portwatch.hormuz.n_tanker,2022-02-02,56.0
portwatch.hormuz.n_tanker,2022-02-03,66.0
portwatch.hormuz.n_tanker,2022-02-04,63.0
portwatch.hormuz.n_tanker,2022-02-05,64.0
portwatch.hormuz.n_tanker,2022-02-06,53.0
portwatch.hormuz.n_tanker,2022-02-07,48.0
portwatch.hormuz.n_tanker,2022-02-08,54.0
portwatch.hormuz.n_tanker,2022-02-09,62.0
portwatch.hormuz.n_tanker,2022-02-10,54.0
portwatch.hormuz.n_tanker,2022-02-11,66.0
portwatch.hormuz.n_tanker,2022-02-12,65.0
portwatch.hormuz.n_tanker,2022-02-13,48.0
portwatch.hormuz.n_tanker,2022-02-14,53.0
portwatch.hormuz.n_tanker,2022-02-15,59.0
portwatch.hormuz.n_tanker,2022-02-16,53.0
portwatch.hormuz.n_tanker,2022-02-17,60.0
portwatch.hormuz.n_tanker,2022-02-18,56.0
portwatch.hormuz.n_tanker,2022-02-19,55.0
portwatch.hormuz.n_tanker,2022-02-20,69.0
portwatch.hormuz.n_tanker,2022-02-21,65.0
portwatch.hormuz.n_tanker,2022-02-22,58.0
portwatch.hormuz.n_tanker,2022-02-23,63.0
portwatch.hormuz.n_tanker,2022-02-24,50.0
portwatch.hormuz.n_tanker,2022-02-25,72.0
portwatch.hormuz.n_tanker,2022-02-26,64.0
portwatch.hormuz.n_tanker,2022-02-27,60.0
portwatch.hormuz.n_tanker,2022-02-28,42.0
portwatch.hormuz.n_tanker,2022-03-01,44.0
portwatch.hormuz.n_tanker,2022-03-02,56.0
portwatch.hormuz.n_tanker,2022-03-03,68.0
portwatch.hormuz.n_tanker,2022-03-04,54.0
portwatch.hormuz.n_tanker,2022-03-05,56.0
portwatch.hormuz.n_tanker,2022-03-06,61.0
portwatch.hormuz.n_tanker,2022-03-07,51.0
portwatch.hormuz.n_tanker,2022-03-08,63.0
portwatch.hormuz.n_tanker,2022-03-09,49.0
portwatch.hormuz.n_tanker,2022-03-10,67.0
portwatch.hormuz.n_tanker,2022-03-11,61.0
portwatch.hormuz.n_tanker,2022-03-12,52.0
portwatch.hormuz.n_tanker,2022-03-13,75.0
portwatch.hormuz.n_tanker,2022-03-14,64.0
portwatch.hormuz.n_tanker,2022-03-15,53.0
portwatch.hormuz.n_tanker,2022-03-16,70.0
portwatch.hormuz.n_tanker,2022-03-17,45.0
portwatch.hormuz.n_tanker,2022-03-18,39.0
portwatch.hormuz.n_tanker,2022-03-19,49.0
portwatch.hormuz.n_tanker,2022-03-20,54.0
portwatch.hormuz.n_tanker,2022-03-21,62.0
portwatch.hormuz.n_tanker,2022-03-22,61.0
portwatch.hormuz.n_tanker,2022-03-23,77.0
portwatch.hormuz.n_tanker,2022-03-24,70.0
portwatch.hormuz.n_tanker,2022-03-25,65.0
portwatch.hormuz.n_tanker,2022-03-26,67.0
portwatch.hormuz.n_tanker,2022-03-27,59.0
portwatch.hormuz.n_tanker,2022-03-28,47.0
portwatch.hormuz.n_tanker,2022-03-29,44.0
portwatch.hormuz.n_tanker,2022-03-30,37.0
portwatch.hormuz.n_tanker,2022-03-31,67.0
portwatch.hormuz.n_tanker,2022-04-01,74.0
portwatch.hormuz.n_tanker,2022-04-02,70.0
portwatch.hormuz.n_tanker,2022-04-03,69.0
portwatch.hormuz.n_tanker,2022-04-04,68.0
portwatch.hormuz.n_tanker,2022-04-05,57.0
portwatch.hormuz.n_tanker,2022-04-06,71.0
portwatch.hormuz.n_tanker,2022-04-07,67.0
portwatch.hormuz.n_tanker,2022-04-08,56.0
portwatch.hormuz.n_tanker,2022-04-09,59.0
portwatch.hormuz.n_tanker,2022-04-10,59.0
portwatch.hormuz.n_tanker,2022-04-11,57.0
portwatch.hormuz.n_tanker,2022-04-12,68.0
portwatch.hormuz.n_tanker,2022-04-13,54.0
portwatch.hormuz.n_tanker,2022-04-14,65.0
portwatch.hormuz.n_tanker,2022-04-15,73.0
portwatch.hormuz.n_tanker,2022-04-16,58.0
portwatch.hormuz.n_tanker,2022-04-17,67.0
portwatch.hormuz.n_tanker,2022-04-18,57.0
portwatch.hormuz.n_tanker,2022-04-19,63.0
portwatch.hormuz.n_tanker,2022-04-20,67.0
portwatch.hormuz.n_tanker,2022-04-21,47.0
portwatch.hormuz.n_tanker,2022-04-22,66.0
portwatch.hormuz.n_tanker,2022-04-23,73.0
portwatch.hormuz.n_tanker,2022-04-24,49.0
portwatch.hormuz.n_tanker,2022-04-25,59.0
portwatch.hormuz.n_tanker,2022-04-26,74.0
portwatch.hormuz.n_tanker,2022-04-27,68.0
