source,source_id,event_date,inside_big_move,episode_id,monthly_move_pct,wti_chg_3m_pct
Dyadic MID 4.03,disno 3440,1978-07-01,False,,,0.0
COW War v4.1 intra-state,WarNum 812,1978-09-01,False,,,0.0
COW War v4.1 intra-state,WarNum 813,1978-09-03,False,,,0.0
ICB v16,crisno 295,1978-10-16,False,,,0.0
COW War v4.0 inter-state,WarNum 190,1978-10-28,False,,,0.0
ICB v16,crisno 296,1978-10-28,False,,,0.0
ICB v16,crisno 297,1978-11-07,False,,,6.73
ICB v16,crisno 298,1978-12-25,False,,,6.73
Dyadic MID 4.03,disno 2716,1979-01-27,False,,,6.73
COW War v4.1 intra-state,WarNum 816,1979-02-12,False,,,14.2
ICB v16,crisno 300,1979-02-12,False,,,14.2
COW War v4.0 inter-state,WarNum 193,1979-02-17,False,,,14.2
ICB v16,crisno 301,1979-02-24,False,,,14.2
Dyadic MID 4.03,disno 2113,1979-02-27,False,,,14.2
ICB v16,crisno 302,1979-03-06,True,wti_1979-04-01,149.2,20.5
Dyadic MID 4.03,disno 3025,1979-03-18,True,wti_1979-04-01,149.2,20.5
Dyadic MID 4.03,disno 2053,1979-03-26,True,wti_1979-04-01,149.2,20.5
ICB v16,crisno 303,1979-03-28,True,wti_1979-04-01,149.2,20.5
ICB v16,crisno 304,1979-04-12,True,wti_1979-04-01,149.2,37.22
ICB v16,crisno 305,1979-06-01,True,wti_1979-04-01,149.2,49.21
Dyadic MID 4.03,disno 3441,1979-06-27,True,wti_1979-04-01,149.2,49.21
Dyadic MID 4.03,disno 2224,1979-08-09,True,wti_1979-04-01,149.2,16.98
Dyadic MID 4.03,disno 2968,1979-08-28,True,wti_1979-04-01,149.2,16.98
Dyadic MID 4.03,disno 2115,1979-10-24,True,wti_1979-04-01,149.2,12.07
ICB v16,crisno 308,1979-10-28,True,wti_1979-04-01,149.2,12.07
Dyadic MID 4.03,disno 3020,1979-11-04,True,wti_1979-04-01,149.2,19.35
ICB v16,crisno 309,1979-11-04,True,wti_1979-04-01,149.2,19.35
Dyadic MID 4.03,disno 2967,1979-11-14,True,wti_1979-04-01,149.2,19.35
ICB v16,crisno 310,1979-12-12,True,wti_1979-04-01,149.2,16.92
ICB v16,crisno 311,1980-01-27,True,wti_1979-04-01,149.2,21.54
Dyadic MID 4.03,disno 2152,1980-02-03,True,wti_1979-04-01,149.2,6.76
COW War v4.1 intra-state,WarNum 820,1980-03-22,True,wti_1979-04-01,149.2,3.95
ICB v16,crisno 313,1980-06-07,False,,,-8.86
ICB v16,crisno 314,1980-06-11,False,,,-8.86
ICB v16,crisno 315,1980-08-14,False,,,-5.26
Dyadic MID 4.03,disno 3448,1980-08-24,False,,,-5.26
Dyadic MID 4.03,disno 2083,1980-09-07,False,,,2.78
ICB v16,crisno 317,1980-09-17,False,,,2.78
COW War v4.0 inter-state,WarNum 199,1980-09-22,False,,,2.78
Dyadic MID 4.03,disno 2717,1980-10-05,False,,,5.56
Dyadic MID 4.03,disno 3105,1980-10-25,False,,,5.56
Dyadic MID 4.03,disno 3108,1980-11-13,False,,,5.56
ICB v16,crisno 319,1980-11-25,False,,,5.56
ICB v16,crisno 320,1980-12-05,False,,,2.7
COW War v4.1 intra-state,WarNum 823,1980-12-18,False,,,2.7
ICB v16,crisno 324,1981-01-01,False,,,0.0
ICB v16,crisno 321,1981-01-06,False,,,0.0
ICB v16,crisno 322,1981-01-22,False,,,0.0
Dyadic MID 4.03,disno 2119,1981-01-23,False,,,0.0
ICB v16,crisno 325,1981-04-04,False,,,-5.26
Dyadic MID 4.03,disno 2084,1981-04-25,False,,,-5.26
ICB v16,crisno 327,1981-04-28,False,,,-5.26
Dyadic MID 4.03,disno 3102,1981-05-05,False,,,-5.26
Dyadic MID 4.03,disno 2228,1981-05-12,False,,,-5.26
ICB v16,crisno 328,1981-05-15,False,,,-5.26
Dyadic MID 4.03,disno 2639,1981-07-07,False,,,-2.78
ICB v16,crisno 330,1981-08-12,False,,,0.0
Dyadic MID 4.03,disno 3099,1981-08-18,False,,,0.0
ICB v16,crisno 331,1981-08-23,False,,,0.0
Dyadic MID 4.03,disno 3098,1981-09-10,False,,,-2.78
Dyadic MID 4.03,disno 3097,1981-09-21,False,,,-2.78
Dyadic MID 4.03,disno 3095,1981-10-01,False,,,-3.29
ICB v16,crisno 333,1981-10-28,False,,,-3.29
COW War v4.1 intra-state,WarNum 825,1981-11-01,False,,,-12.33
ICB v16,crisno 334,1981-12-13,False,,,-18.63
Dyadic MID 4.03,disno 3612,1982-01-15,False,,,-1.18
COW War v4.1 intra-state,WarNum 826,1982-01-23,False,,,-1.18
Dyadic MID 4.03,disno 3106,1982-02-22,False,,,13.85
Dyadic MID 4.03,disno 3630,1982-03-01,False,,,23.14
Dyadic MID 4.03,disno 2975,1982-03-08,False,,,23.14
ICB v16,crisno 335,1982-03-22,False,,,23.14
COW War v4.0 inter-state,WarNum 202,1982-03-25,False,,,23.14
ICB v16,crisno 336,1982-03-28,False,,,23.14
Dyadic MID 4.03,disno 3995,1982-04-11,False,,,2.12
COW War v4.0 inter-state,WarNum 205,1982-04-21,False,,,2.12
Dyadic MID 4.03,disno 2974,1982-04-24,False,,,2.12
ICB v16,crisno 337,1982-06-05,False,,,1.6
Dyadic MID 4.03,disno 2229,1982-06-23,False,,,1.6
ICB v16,crisno 338,1982-06-28,False,,,1.6
Dyadic MID 4.03,disno 2323,1982-07-13,False,,,4.45
Dyadic MID 4.03,disno 3442,1982-10-04,False,,,-12.58
ICB v16,crisno 340,1983-02-11,False,,,3.63
Dyadic MID 4.03,disno 3071,1983-02-26,False,,,3.63
Dyadic MID 4.03,disno 3614,1983-04-10,False,,,3.43
Dyadic MID 4.03,disno 3068,1983-04-16,False,,,3.43
COW War v4.1 intra-state,WarNum 833,1983-04-18,False,,,3.43
ICB v16,crisno 341,1983-04-18,False,,,3.43
Dyadic MID 4.03,disno 3067,1983-04-27,False,,,3.43
Dyadic MID 4.03,disno 2590,1983-04-28,False,,,3.43
ICB v16,crisno 342,1983-06-24,False,,,0.35
Dyadic MID 4.03,disno 3634,1983-07-03,False,,,-3.95
COW War v4.1 intra-state,WarNum 835,1983-07-25,False,,,-3.95
Dyadic MID 4.03,disno 3385,1983-08-16,False,,,-6.49
Dyadic MID 4.03,disno 3063,1983-09-01,False,,,-6.01
Dyadic MID 4.03,disno 3062,1983-09-03,False,,,-6.01
Dyadic MID 4.03,disno 2054,1983-09-18,False,,,-6.01
ICB v16,crisno 343,1983-10-19,False,,,-2.37
Dyadic MID 4.03,disno 2641,1983-10-20,False,,,-2.37
ICB v16,crisno 344,1983-11-02,False,,,1.02
ICB v16,crisno 347,1983-12-06,False,,,5.2
Dyadic MID 4.03,disno 3054,1983-12-28,False,,,5.2
Dyadic MID 4.03,disno 3639,1984-01-14,False,,,3.13
Dyadic MID 4.03,disno 2118,1984-01-15,False,,,3.13
ICB v16,crisno 348,1984-02-21,False,,,1.24
Dyadic MID 4.03,disno 3051,1984-03-08,False,,,-2.58
Dyadic MID 4.03,disno 3052,1984-03-08,False,,,-2.58
ICB v16,crisno 350,1984-03-16,False,,,-2.58
ICB v16,crisno 352,1984-04-02,False,,,-6.09
Dyadic MID 4.03,disno 3048,1984-04-26,False,,,-6.09
Dyadic MID 4.03,disno 3617,1984-05-09,False,,,-4.16
COW War v4.1 intra-state,WarNum 837,1984-06-01,False,,,-2.19
Dyadic MID 4.03,disno 3045,1984-06-03,False,,,-2.19
Dyadic MID 4.03,disno 2642,1984-06-25,False,,,-2.19
Dyadic MID 4.03,disno 3042,1984-07-10,False,,,0.05
COW War v4.1 intra-state,WarNum 838,1984-08-14,False,,,-3.94
Dyadic MID 4.03,disno 3041,1984-08-22,False,,,-3.94
Dyadic MID 4.03,disno 2230,1984-09-12,False,,,-13.24
Dyadic MID 4.03,disno 2087,1984-10-19,False,,,-10.86
ICB v16,crisno 354,1984-11-06,False,,,-2.94
COW War v4.1 intra-state,WarNum 840,1985-01-01,False,,,12.34
Dyadic MID 4.03,disno 3622,1985-01-09,False,,,12.34
Dyadic MID 4.03,disno 2643,1985-01-17,False,,,12.34
Dyadic MID 4.03,disno 3029,1985-02-19,False,,,1.29
Dyadic MID 4.03,disno 2554,1985-02-20,False,,,1.29
Dyadic MID 4.03,disno 2553,1985-02-21,False,,,1.29
Dyadic MID 4.03,disno 2551,1985-03-19,False,,,-3.88
Dyadic MID 4.03,disno 2550,1985-03-22,False,,,-3.88
Dyadic MID 4.03,disno 2232,1985-03-24,False,,,-3.88
