rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
14,A,1958-11-07,France / USSR/Russia / United Kingdom / United States / West Germany,BERLIN DEADLINE / hihost 4 (use of force),3,ICB+MID,1,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2216 ; Dyadic MID 4.03|disno 608 ; ICB v16|crisno 168,,
15,A,1959-03-06,Egypt / Iraq,Iraq-Shammar / hihost 4 (use of force),2,COW+MID,1,1,1,"COW intra-state war, producer state party (Amendment 1); MID hihost 4",0,COW War v4.1 intra-state|WarNum 747 ; Dyadic MID 4.03|disno 2998,,
16,A,1961-06-19,Egypt / France / Iran / Iraq / Jordan / Kuwait,BIZERTA / KUWAIT INDEPENDENCE / hihost 4 (use of force),4,ICB+MID,1,1,1,ICB viol 3; MID hihost 4,0,ICB v16|crisno 183 ; Dyadic MID 4.03|disno 122 ; ICB v16|crisno 184 ; Dyadic MID 4.03|disno 27,,
17,A,1962-04-22,China / India,TAIWAN STRAIT III / hihost 4 (use of force),2,ICB+MID,1,1,0,MID hihost 4,0,ICB v16|crisno 192 ; Dyadic MID 4.03|disno 1466,,
18,A,1962-09-08,China / India,CHINA/INDIA BDR. II / hihost 4 (use of force),2,ICB+MID,1,1,0,ICB viol 4; MID hihost 4,0,ICB v16|crisno 194 ; Dyadic MID 4.03|disno 1310,,
19,A,1962-09-26,Egypt / Jordan / Saudi Arabia / USSR/Russia / United Kingdom / United States,CUBAN MISSILES / North Yemen / YEMEN WAR I,6,COW+ICB+MID,1,1,1,"COW intra-state war, producer state party (Amendment 1); ICB viol 4; MID hihost 4",0,ICB v16|crisno 195 ; Dyadic MID 4.03|disno 1108 ; ICB v16|crisno 196 ; Dyadic MID 4.03|disno 610 ; Dyadic MID 4.03|disno 3244 ; COW War v4.1 intra-state|WarNum 755,,
20,A,1963-01-28,Indonesia / Malaysia / United Kingdom / Yemen Arab Republic,MALAYSIA FEDERATION / hihost 4 (use of force),3,ICB+MID,1,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2157 ; ICB v16|crisno 197 ; Dyadic MID 4.03|disno 1070,,
21,A,1963-03-19,USSR/Russia / United States,Second Laotian Phase 1 / hihost 4 (use of force),2,COW+MID,1,1,0,"COW intra-state war, producer state party (Amendment 1); MID hihost 4",0,COW War v4.1 intra-state|WarNum 756 ; Dyadic MID 4.03|disno 2218,,
22,A,1964-01-09,China / Panama / South Korea / USSR/Russia / United States,PANAMA FLAG / hihost 4 (use of force) / hihost 5 (war),3,ICB+MID,1,1,1,MID hihost 4; MID hihost 5,0,ICB v16|crisno 206 ; Dyadic MID 4.03|disno 2220 ; Dyadic MID 4.03|disno 611,,
23,A,1964-07-17,USSR/Russia / United States,CONGO II / GULF OF TONKIN / hihost 4 (use of force),3,ICB+MID,1,1,0,ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 2901 ; ICB v16|crisno 210 ; ICB v16|crisno 211,,
